1920,日本工業倶楽部会館竣工
1921,国有財産法・借地法・借家法公布/鉄道開通50年
1922,平和記念東京博/借地借家調停法公布/帝国ホテル本館全焼
1923,関東大震災発生/特別都市計画法公布(～1941年)
1924,市街地建築物法の構造規定改正/同潤会設立
1925,東京市が住居・商業・工業等の用途地域を初めて指定
1926,土地賃貸価格調査法公布/行幸道路竣工/昭和に改元
1927,金融恐慌
1928,日本商工会議所設立
1929,世界恐慌/国宝保存法公布/道三町・銭瓶町が大手町に/永楽町・八重洲町が丸ノ内に
1930,経済恐慌による地価の下落・建物賃料値下げ
1931,エンパイヤステートビル竣工(高さ375m)
1932,桜田門事件/五・一五事件/不動産融資および損失補償法公布/東京市が35区になる
1933,三陸地震津波発生/都市計画法改正/丸の内が美観地区に指定
1934,室戸台風来襲
1935,満州国皇帝溥儀来日
1936,二・二六事件/日独防共協定調印
1937,増税新法公布/経済団体連盟設立/日独伊防共協定調印
1938,市街地建築物法改正/丸ノ内町会設立
1939,第二次世界大戦(～1945年)/木造建物建築統制規則公布
1940,日米通商条約失効/家屋税法公布/宅地建物等価格統制令公布
1941,太平洋戦争(～1945年)/借地法・借家法改正公布/同潤会解散
1942,丸の内・銀座で有線放送開始
1943,鳥取地震発生/都市計画法および同法施行令臨時特例公布
1944,東京・名古屋に改正防空法による初の疎開命令/昭和東南海地震発生
1945,東京大空襲/広島・長崎に原爆投下/第二次世界大戦終戦/GHQによるビル接収開始/三河地震発生
1946,戦災復興土地区画整理施行地区内建築制限令公布/特別都市計画法公布/日本国憲法発布/昭和南海地震発生
1947,臨時建築等制限規則公布(～1950年)/東京都が23区となる/カスリーン台風来襲
1948,福井地震発生/建設省設置/アイオン台風来襲
1949,建設業法・測量法施行/土地改良法公布
1950,建築基準法・建築士法施行/東京都建築安全条例公布
1951,公営住宅法公布/民間ラジオ放送開始
1952,道路法・宅地建物取引業法施行/耐火建築促進法公布/宅地建物取引業法公布
1953,独占禁止法改正公布
1954,二重橋事件/土地区画整理法公布
1955,日本住宅公団法公布
1956,日本道路公団法施行
1957,建築基準法改正/日ソ通商条約調印
1958,下水道法施行/狩野川台風来襲/東京タワー(高さ333m)竣工
1959,丸ノ内総合改造計画策定/建築基準法改正/伊勢湾台風来襲
1960,住宅地区改良法公布/チリ地震津波発生
1961,千里ニュータウン着工/建築基準法改正/第二室戸台風来襲
1962,災害対策基本法施行
1963,都市計画法上の高度地区を指定/建築基準法改正/第一次マンションブーム(～1964年)
1964,新潟地震発生/東海道新幹線開通/東京オリンピック
1965,首都圏整備法および首都圏市街地の開発区域整備法改正/公害防止事業団法施行/いざなぎ景気(～1970年)
1966,住宅建設計画法公布/不動産に関して民法改正(地上権について)
1967,東京海上火災保険の建築確認申請(高さ127.76m)に関する議論/公害対策基本法公布
1968,十勝沖地震及び津波発生/騒音規制法・大気汚染防止法・都市計画法施行/第二次マンションブーム(～1969)
1969,東名高速全線開通/新全国総合開発計画閣議決定
1970,日本万国博覧会/建築基準法改正東京海上火災保険の建築確認申請(高さ100m)を東京都が受理
1971,東京都が建蔽率の緩和を実施
1972,札幌冬季オリンピック/大阪千日デパートビル火災発生/第三次マンションブーム(～1973年)
1973,第一次石油危機/都市緑地保全法公布
1974,丸ノ内総合改造計画が完了/ツーバイフォー工法の技術基準を告示
1975,都市計画法改正(「町並み保存」制度創設)
1976,建築基準法改正(防災・日影規制)
1977,宮城県沖地震発生/第四次マンションブーム(～1980年)
1978,伊豆大島近海地震発生/成田空港開港/日陰を考慮した高さ制限の条例公布
1979,第二次石油危機
1980,都市計画法・建築基準法改正
1981,東京都が防災施設基本計画を発表/新耐震基準
1982,土地区画整理法改正
1983,丸ビル開館60年/東京ディズニーランド開園/みなとみらい21事業起工式
1984,土地高度利用促進のため建築基準法に基づく規制緩和基準決定
1985,男女雇用機会均等法公布
1986,チェルノブイリ原子力発電所事故/逆オイルショック/第五次マンションブーム(～1988年)
1987,バブル経済の加熱/建築基準法改正/リゾート法施行
1988,東京ドーム竣工/都市再開発法・建築基準法改正
1989,平成に改元/消費税法施行/土地基本法公布/ベルリンの壁の撤去開始
1990,都市再開発法・建築基準法改正
1991,バブル崩壊(～1993年)/東京都新都庁舎竣工
1992,「南関東地域直下の地震対策に関する大綱」制定
1993,環境基本法公布・施行/街なみ環境整備事業制度実施
1994,関西国際空港開港
1995,兵庫県南部地震発生/建築物の耐震改修の促進に関する法律施行/製造物責任法施行
1996,下水道法改正
1997,環境影響評価法公布
1998,長野オリンピック/建築基準法改正
1999,住宅の品質確保の促進等に関する法律公布
2000,建築基準法改正(構造強度・防火に関する基準)
2001,国交省発足/アメリカ同時多発テロ事件/高齢者の居住の安定確保に関する法律施行
2002,都市再生特別措置法公布
2003,宮城県北部連続地震発生/シックハウス対策に係る法令等施行/建築物における衛生的環境の確保に関する法律施行
2004,新潟県中越地震発生
2005,愛・地球博/耐震強度構造計算書偽装事件
2006,住生活基本法公布/アスベスト規制
2007,新潟県中越沖地震発生
2008,リーマンショック
2009,高齢者の居住の安定の確保に関する基本的な方針制定
2010,東京国際空港新国際線ターミナル供用開始
2011,東北地方太平洋沖地震発生
2012,東京スカイツリー(高さ634m)竣工/都市の低炭素化の促進に関する法律公布
2013,改正耐震改修促進法施行
2014,逆オイルショック
2015,建築物のエネルギー消費性能の向上に関する法律公布
2016,熊本地震発生/南海トラフ地震防災対策推進基本計画及び首都直下地震緊急対策推進基本計画/新国立競技場着工
2017,平成29年7月九州北部豪雨発生
2018,KYB免震偽装発覚/建築基準法改正
2019,改元
2020,東京オリンピック
